INFO 2026-01-20 22:43:17,961 autoreload Watching for file changes with StatReloader
INFO 2026-01-20 22:45:35,552 autoreload Watching for file changes with StatReloader
INFO 2026-01-20 22:45:58,452 basehttp "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
INFO 2026-01-20 22:45:59,068 basehttp "POST /api/v1/auth/login/ HTTP/1.1" 200 833
INFO 2026-01-20 22:46:00,194 basehttp "OPTIONS /api/v1/auth/user/ HTTP/1.1" 200 0
INFO 2026-01-20 22:46:00,448 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:46:55,203 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:47:04,184 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:47:23,199 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:47:39,226 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:47:56,207 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:49:17,267 autoreload Watching for file changes with StatReloader
INFO 2026-01-20 22:49:42,747 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:50:25,226 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:50:40,820 autoreload Watching for file changes with StatReloader
INFO 2026-01-20 22:50:49,916 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:52:41,345 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:52:41,346 basehttp "OPTIONS /api/v1/devices/stats/ HTTP/1.1" 200 0
INFO 2026-01-20 22:52:41,348 basehttp "OPTIONS /api/v1/alarms/stats/ HTTP/1.1" 200 0
INFO 2026-01-20 22:52:41,744 basehttp "GET /api/v1/devices/stats/ HTTP/1.1" 200 114
INFO 2026-01-20 22:52:42,114 basehttp "GET /api/v1/alarms/stats/ HTTP/1.1" 200 191
INFO 2026-01-20 22:52:42,116 basehttp "OPTIONS /api/v1/alarms/records/?page=1&page_size=5&status=pending HTTP/1.1" 200 0
INFO 2026-01-20 22:52:42,400 basehttp "GET /api/v1/alarms/records/?page=1&page_size=5&status=pending HTTP/1.1" 200 137
INFO 2026-01-20 22:52:42,403 basehttp "OPTIONS /api/v1/devices/?page=1&page_size=5 HTTP/1.1" 200 0
INFO 2026-01-20 22:52:42,705 basehttp "GET /api/v1/devices/?page=1&page_size=5 HTTP/1.1" 200 137
INFO 2026-01-20 22:54:17,371 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:54:17,699 basehttp "GET /api/v1/devices/stats/ HTTP/1.1" 200 114
INFO 2026-01-20 22:54:17,895 basehttp "GET /api/v1/alarms/stats/ HTTP/1.1" 200 191
INFO 2026-01-20 22:54:17,955 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:54:18,186 basehttp "GET /api/v1/alarms/records/?page=1&page_size=5&status=pending HTTP/1.1" 200 137
INFO 2026-01-20 22:54:18,197 basehttp "GET /api/v1/devices/stats/ HTTP/1.1" 200 114
INFO 2026-01-20 22:54:18,385 basehttp "GET /api/v1/alarms/stats/ HTTP/1.1" 200 191
INFO 2026-01-20 22:54:18,465 basehttp "GET /api/v1/devices/?page=1&page_size=5 HTTP/1.1" 200 137
INFO 2026-01-20 22:54:18,653 basehttp "GET /api/v1/alarms/records/?page=1&page_size=5&status=pending HTTP/1.1" 200 137
INFO 2026-01-20 22:54:18,955 basehttp "GET /api/v1/devices/?page=1&page_size=5 HTTP/1.1" 200 137
INFO 2026-01-20 22:54:23,324 basehttp "OPTIONS /api/v1/devices/sensor-types/ HTTP/1.1" 200 0
INFO 2026-01-20 22:54:23,324 basehttp "OPTIONS /api/v1/devices/?page=1&page_size=20&keyword=&status= HTTP/1.1" 200 0
INFO 2026-01-20 22:54:23,624 basehttp "GET /api/v1/devices/?page=1&page_size=20&keyword=&status= HTTP/1.1" 200 138
INFO 2026-01-20 22:54:23,656 basehttp "GET /api/v1/devices/sensor-types/ HTTP/1.1" 200 1195
INFO 2026-01-20 22:54:23,711 basehttp "GET /api/v1/devices/stats/ HTTP/1.1" 200 114
INFO 2026-01-20 22:54:24,529 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:54:24,759 basehttp "GET /api/v1/devices/sensor-types/ HTTP/1.1" 200 1195
INFO 2026-01-20 22:54:24,775 basehttp "GET /api/v1/devices/?page=1&page_size=20&keyword=&status= HTTP/1.1" 200 138
INFO 2026-01-20 22:54:24,894 basehttp "GET /api/v1/devices/stats/ HTTP/1.1" 200 114
INFO 2026-01-20 22:54:25,657 basehttp "OPTIONS /api/v1/alarms/records/?page=1&page_size=20&device_id=&sensor_type=&status=&priority= HTTP/1.1" 200 0
INFO 2026-01-20 22:54:25,922 basehttp "GET /api/v1/alarms/records/?page=1&page_size=20&device_id=&sensor_type=&status=&priority= HTTP/1.1" 200 138
INFO 2026-01-20 22:54:26,138 basehttp "GET /api/v1/alarms/stats/ HTTP/1.1" 200 191
INFO 2026-01-20 22:54:27,000 basehttp "OPTIONS /api/v1/alarms/rules/?device_id=&enabled= HTTP/1.1" 200 0
INFO 2026-01-20 22:54:27,000 basehttp "OPTIONS /api/v1/devices/?page_size=100 HTTP/1.1" 200 0
INFO 2026-01-20 22:54:27,053 basehttp "GET /api/v1/auth/user/ HTTP/1.1" 200 220
INFO 2026-01-20 22:54:27,292 basehttp "GET /api/v1/devices/?page_size=100 HTTP/1.1" 200 139
INFO 2026-01-20 22:54:27,299 basehttp "GET /api/v1/alarms/rules/?device_id=&enabled= HTTP/1.1" 200 138
INFO 2026-01-20 22:54:27,335 basehttp "GET /api/v1/devices/sensor-types/ HTTP/1.1" 200 1195
INFO 2026-01-20 22:54:30,272 basehttp "GET /api/v1/devices/stats/ HTTP/1.1" 200 114
INFO 2026-01-20 22:54:30,310 basehttp "GET /api/v1/alarms/stats/ HTTP/1.1" 200 191
INFO 2026-01-20 22:54:30,608 basehttp "GET /api/v1/alarms/records/?page=1&page_size=5&status=pending HTTP/1.1" 200 137
INFO 2026-01-20 22:54:30,912 basehttp "GET /api/v1/devices/?page=1&page_size=5 HTTP/1.1" 200 137
INFO 2026-01-20 22:54:33,235 basehttp "OPTIONS /api/v1/auth/logout/ HTTP/1.1" 200 0
INFO 2026-01-20 22:54:33,484 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 200 47
WARNING 2026-01-20 22:54:41,716 basehttp "POST /api/v1/auth/login/ HTTP/1.1" 401 79
WARNING 2026-01-20 22:54:41,720 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,725 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
